wallet_id,ts,event_type,token,amount,bonus_id,tx_hash
w00286,2025-08-01T07:49:34Z,deposit,USDC,64.53,,0xe9bfe19831cb4aeb85e028ac0c775f9a
w00286,2025-08-01T11:37:34Z,wager,USDC,73.95,,0xb1cf9f84a7ac4930a9c4d3444d4250d6
w00286,2025-08-01T11:48:34Z,payout,USDC,51.95,,0x4e2f0b2548874ed099afd629a6e55d25
w00286,2025-08-01T11:59:34Z,bonus,USDC,23.33,B162,0x2d3389baa901421fb4e720e08fc68b17
w00286,2025-08-01T12:34:34Z,wager,USDC,47.25,,0x338db025c6b3490e91cf9c7cc4512afc
w00286,2025-08-01T13:01:34Z,payout,USDC,24.21,,0x0fd990ce22304a5799510e28fc2e7d2e
w00272,2025-08-01T14:39:13Z,deposit,USDT,55.75,,0x0045914aec95450a8cf62b0c05c7fc1d
w00043,2025-08-01T18:45:27Z,deposit,USDC,34.84,,0x3783475f595f49d68e8c6a6b63cc4546
w00272,2025-08-01T19:42:13Z,wager,USDC,8.29,,0xa988fdfbddc046f785f7339752ad4654
w00272,2025-08-01T20:02:13Z,payout,USDC,7.34,,0xb00d8c001161487985fe368fb68449e8
w00043,2025-08-01T21:02:27Z,wager,USDT,51.28,,0x9d1d5a5b85374c64b98145409c765159
w00043,2025-08-01T21:31:27Z,payout,USDT,43.98,,0x4177fbd87ce342c0b83d4638cd8b8e77
w00043,2025-08-01T21:34:27Z,bonus,USDT,17.9,B978,0xb79545eadb20420a8f5025b4814591a2
w00272,2025-08-01T23:03:13Z,wager,USDC,14.17,,0xab63d90f56904721b9650038d5173130
w00272,2025-08-01T23:06:13Z,payout,USDC,12.89,,0x30ed81a810774dd1a849daae544f7830
w00272,2025-08-01T23:38:13Z,wager,USDT,32.04,,0xca2cce6d81404ea7ac9a42b5ab9c4313
w00043,2025-08-02T00:19:27Z,wager,USDC,26.55,,0xd7aa4ff2e1c24709a70e159b7f94bfb8
w00043,2025-08-02T00:23:27Z,wager,USDC,27.02,,0xecd88d94c5ca46e89618459829a9263d
w00043,2025-08-02T00:58:27Z,wager,USDC,9.03,,0xc23e3521d2984a0bbee2508251c2a807
w00043,2025-08-02T01:14:27Z,payout,USDC,7.64,,0x0e86d34955184e08b5c6961c12244319
w00043,2025-08-02T01:44:27Z,wager,USDC,26.89,,0xac1c7619569d4fce868f2b6a74007e4a
