wallet_id,address,acquisition_channel,region
w00001,0xa043bae1603803a839c0cb52f511d9cb8f68d9d9,referral,UK
w00002,0x341314a5534ea92b26fa8adc30543fe5a6e74384,organic,BR
w00003,0x63f8101ac616f8fd0ba84a167fe482ed4a92c8c8,affiliates,UK
w00004,0x0eed40ef171cc2784d638b34fa781359331a3ed1,affiliates,EU
w00005,0x32e97cc31667baf165d337643e7d80fdfed27360,paid,ROW
w00006,0x4c76ff8b24f98b098d2f129a31e399698e3b36a4,paid,US
w00007,0x17ff134eee52db9fa0d4af211849b3a47ed1640c,organic,UK
w00008,0xb8601ee8d9224ecde331ce692edfce0b5ecdc4c1,referral,BR
w00009,0x3d74c3035df4a6f8f1f2f416b598694b0e8bba51,organic,UK
w00010,0x5db4466426fae9480469a7737ec218a5dca33037,referral,UK
w00011,0x6a3b73a0cc162f803d7caf9fe9b8d8eb743ac8a4,affiliates,UK
w00012,0x45823bb168636e9bdc605cdf6b8933605a627290,paid,EU
w00013,0x0a270635c6cd4108f5acacf3022a93bc29b1df10,paid,EU
w00014,0xf6b1ba1cd91fc56585dd1fadb6bf4c876b4dd1e3,organic,EU
w00015,0x60d23c5eb40f1b7cba7c13b49786b5b441318c23,organic,US
w00016,0xf841332084f8b2d7d97720f7d61a0294f1c9c387,paid,BR
w00017,0xf499bf33a22107943bb7aecaae68aed124b941bb,direct,EU
w00018,0x7106541fd9ffa40c7ae29a7155ad5b4fd8755f68,direct,EU
w00019,0x8635cac38e7b1f932881fe71d7b84df386e8ed4c,paid,ROW
w00020,0x8d449f728588753b93c0bbc6adf7089dd787b6a2,organic,ROW
w00021,0x5baddd65bcd01aefb61ad7be0c45289c21d93e27,paid,UK
w00022,0x0cea2759a64d367399f4fa49ab097e4c95a9abad,organic,ROW
w00023,0xa479b14b228f8ed4d7cb51f2fdbffc5c087aa9df,affiliates,UK
w00024,0x0e8e31de462f471e27abf6b26176f057fd1a8f56,affiliates,UK
w00025,0xd7aa90c3291c33d52e0d2242a00c3520b8b7c818,direct,UK
w00026,0xcd87f076a7e11914a85f8791bdacb37357616a52,direct,UK
w00027,0xd11bc898515acdbf9593a31d5c9cdfd9a0ed42b4,paid,UK
w00028,0xd962a0b3655bc91029a4a774c164a7a069043245,affiliates,US
w00029,0x26b8dc1d00ed99b6105c9de1d39864552818e5bd,referral,UK
w00030,0x239ca2c7cc7e9a9da2174408470d1dd9878ce7ca,paid,EU
w00031,0x201e5b823778254659ca11a4baed5925fb69f46c,referral,EU
w00032,0xdba8a65523f7321d1cde05c262dcc276a374b784,referral,EU
w00033,0xd5ff7468fdc24ad81dd4c4e26f3750083f50edac,affiliates,UK
w00034,0xdb2b7014d8b814406c71e908326936a1f188f867,organic,ROW
w00035,0x40c5bacb508d2c7bac1c74030e8f84c35cd515eb,referral,EU
w00036,0xf77e8cb19d851a496b50d5f4ff1a5caf29c01c56,organic,EU
w00037,0xaf5c986a31b768447f4e71d7e71ad5518edbeac8,affiliates,UK
w00038,0x2c085c8914fb8cd1fa7a5eca2f6e01225b5fed4a,organic,UK
w00039,0x4882f2ab9d9d00a9ac6a7a4f7ca41077395bbdf2,paid,EU
w00040,0x574314693d2595c78740f8f3507ea78d6ebc5693,organic,UK
w00041,0x8c4fa1f6c5fc3880257798592fb45d8b4d5af9cb,organic,UK
w00042,0x7fcc9b92a9d2a0f1052b6cedb0235a852e55cbab,organic,UK
w00043,0x383f443b55ec41a6fdfc44b574738eb2993a8a06,referral,UK
w00044,0xc08e6ee73f5ae198bee2e2ef67efee091f4f87fd,organic,UK
w00045,0x12742bc9c2ded81a225343cf4b0ab01468eb41e4,organic,UK
w00046,0x22b96878a33cd17b19088925813918c78707cb6d,referral,EU
w00047,0x051fe1e06ccfa6f6de6aa8a5288b3004a88d354e,referral,UK
w00048,0xc6ce03109b0b633d084db59a542a340feea67ffa,referral,UK
w00049,0x626c7d4bce8f8233aed1b34a9d3cb87d5f0ef1f7,affiliates,EU
w00050,0x3e8c6854871f7de569324e96256d7aa4dfa72c2b,organic,ROW
w00051,0x8a00dfac6d3b0859a97708084f0dace11238d465,paid,EU
w00052,0xf3adadc16800276c9d1803de701ee90e5f9cb612,affiliates,BR
w00053,0x6e5c2fb8f06d5cf6c04f75f6aa19cb12bab51045,paid,UK
w00054,0x2786051956461eef9262471667143a9314f59c55,referral,BR
w00055,0xf25f35ff4b7936d61998a8f7b74bdc67a3abc1f7,paid,EU
w00056,0xeb8c5e8a1ca5a0fa6cf604889976c985016f1f24,organic,UK
w00057,0x777b54c1daa2f3228f362a609396b3cc11d2574d,organic,EU
w00058,0x9995d9db4912142b86262abaf872570502df87a6,referral,EU
w00059,0x10c44827bc811cd5d0b8f1dc4f75d7fc3c95ba22,affiliates,UK
w00060,0x05485b44dfa1fcefd2d3bdca79467ae184e5f50c,referral,US
w00061,0x7a5183634d59975a01c71d70f3b2a2e4a45e264b,affiliates,EU
w00062,0xb0723a0bdf6216b15e2cc2f280a7ba26ad11c96f,paid,UK
w00063,0x41899cbda488b40ef71798ffe2d95acfc01400c8,organic,EU
w00064,0x6b1894483c86ada1bbd016794bb1bb2f8cb22c4e,referral,UK
w00065,0xc41b9175795419b380d3762ed8eb656b4158e2cf,direct,UK
w00066,0x74d5803949797c3ec30635def0adb18370fb1ee8,referral,EU
w00067,0xf112d196f345cbb5413c922768f34412adb0d513,paid,EU
w00068,0xa4f067b37c20df2d5aa94d01e72ed50729d60a23,affiliates,UK
w00069,0xe0934680423e8accfc587e86253ec0f8cff1a4de,affiliates,ROW
w00070,0x3dc5dd29cbe0bf993fe74713380e32bed509ecdd,direct,EU
w00071,0xf61422fcfa2fbec3924b2bff6ff09ef39e2b3f2e,affiliates,US
w00072,0xae74314106bfe76817daa21d45f126b8e19970f2,referral,UK
w00073,0x133bbb44309d2564a930241d467a182e5747340c,organic,UK
w00074,0x58f98dd68d7e71eb8eca91c2ffc26f6fad4ee166,paid,UK
w00075,0x7dc986629cfe9148566790429b0e53bee0d447b1,referral,UK
w00076,0xf7d46a33dbcdd82482de03dd37eb4d8a10592d95,affiliates,BR
w00077,0xbb4629fdaa460cc0ea904c4fa66547ad618ad5a9,paid,UK
w00078,0x1fad4be42cecc9aabaf4660b93b38cea8dde2124,referral,US
w00079,0x2a515b4c544d7d9f1e8d640d2369e75bc7a2a04c,affiliates,US
w00080,0x7c19a6f603505d3aa3b52692d44b95ef5e53fe63,referral,UK
w00081,0xb925a0e480faa0b66872ba4aa492d1b11133483b,paid,UK
w00082,0x73e50aeda218b143f471204c5b1c0da2579e1d26,direct,UK
w00083,0x6dcac1b0f269ca2650adf2e16045bac99fa58b1a,affiliates,UK
